pasajero,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,has_cabin_number
404,2,0,male,23,0,0,29751,13,,S,NA,NA,0
405,2,0,male,21,0,0,236854,13,,S,NA,NA,0
406,2,0,male,18,0,0,236171,13,,S,NA,NA,0
407,2,0,male,40,1,0,2926,26,,S,NA,286,0
408,2,1,female,29,1,0,2926,26,,S,16,NA,0
409,2,0,male,18,0,0,C.A. 15185,10.5,,S,NA,NA,0
410,2,0,male,36,0,0,229236,13,,S,NA,236,0
411,2,0,male,29.88113451,0,0,239854,0,,S,NA,NA,0
412,2,0,female,38,0,0,237671,13,,S,NA,NA,0
413,2,0,male,35,0,0,239865,26,,S,NA,322,0
414,2,0,male,38,1,0,28664,21,,S,NA,NA,0
415,2,0,male,34,1,0,28664,21,,S,NA,NA,0
416,2,1,female,34,0,0,243880,13,,S,12,NA,0
417,2,0,male,16,0,0,239865,26,,S,NA,NA,0
418,2,0,male,26,0,0,31028,10.5,,S,NA,NA,0
419,2,0,male,47,0,0,C.A. 30769,10.5,,S,NA,NA,0
420,2,0,male,21,1,0,28133,11.5,,S,NA,NA,0
421,2,0,male,21,1,0,28134,11.5,,S,NA,NA,0
422,2,0,male,24,0,0,248726,13.5,,S,NA,297,0
423,2,0,male,24,0,0,233866,13,,S,NA,155,0
424,2,0,male,34,0,0,12233,13,,S,NA,NA,0
425,2,0,male,30,0,0,250646,13,,S,NA,305,0
426,2,0,male,52,0,0,250647,13,,S,NA,19,0
427,2,0,male,30,0,0,250653,13,,S,NA,75,0
428,2,1,male,0.6667,1,1,250649,14.5,,S,4,NA,0
429,2,1,female,24,0,2,250649,14.5,,S,4,NA,0
430,2,0,male,44,0,0,248746,13,,S,NA,35,0
431,2,1,female,6,0,1,248727,33,,S,11,NA,0
432,2,0,male,28,0,1,248727,33,,S,NA,NA,0
433,2,1,male,62,0,0,S.W./PP 752,10.5,,S,15,NA,0
434,2,0,male,30,0,0,W/C 14208,10.5,,S,NA,NA,0
435,2,1,female,7,0,2,F.C.C. 13529,26.25,,S,14,NA,0
436,2,0,male,43,1,1,F.C.C. 13529,26.25,,S,NA,NA,0
437,2,1,female,45,1,1,F.C.C. 13529,26.25,,S,14,NA,0
438,2,1,female,24,1,2,220845,65,,S,9,NA,0
439,2,1,female,24,1,2,220845,65,,S,9,NA,0
440,2,0,male,49,1,2,220845,65,,S,NA,NA,0
441,2,1,female,48,1,2,220845,65,,S,9,NA,0
442,2,1,female,55,0,0,248706,16,,S,13,NA,0
443,2,0,male,24,2,0,S.O.C. 14879,73.5,,S,NA,NA,0
444,2,0,male,32,2,0,S.O.C. 14879,73.5,,S,NA,256,0
445,2,0,male,21,2,0,S.O.C. 14879,73.5,,S,NA,NA,0
446,2,0,female,18,1,1,250650,13,,S,NA,NA,0
447,2,1,female,20,2,1,29105,23,,S,4,NA,0
448,2,0,male,23,2,1,29104,11.5,,S,NA,NA,0
449,2,0,male,36,0,0,242963,13,,S,NA,NA,0
450,2,1,female,54,1,3,29105,23,,S,4,NA,0
451,2,0,male,50,0,0,250643,13,,S,NA,149,0
452,2,0,male,44,1,0,26707,26,,S,NA,NA,0
453,2,1,female,29,1,0,26707,26,,S,10,NA,0
454,2,0,male,21,0,0,S.O.C. 14879,73.5,,S,NA,NA,0
455,2,1,male,42,0,0,237798,13,,S,10,NA,0
456,2,0,male,63,1,0,24065,26,,S,NA,NA,0
457,2,0,female,60,1,0,24065,26,,S,NA,NA,0
458,2,0,male,33,0,0,SCO/W 1585,12.275,,S,NA,NA,0
459,2,1,female,17,0,0,SO/C 14885,10.5,,S,NA,NA,0
460,2,0,male,42,1,0,243847,27,,S,NA,NA,0
461,2,1,female,24,2,1,243847,27,,S,12,NA,0
462,2,0,male,47,0,0,237565,15,,S,NA,NA,0
463,2,0,male,24,2,0,C.A. 31029,31.5,,S,NA,NA,0
464,2,0,male,22,2,0,C.A. 31029,31.5,,S,NA,NA,0
465,2,0,male,32,0,0,C.A. 33111,10.5,,S,NA,NA,0
466,2,1,female,23,0,0,SC/AH Basle 541,13.7917,D,C,11,NA,1
467,2,0,male,34,1,0,244367,26,,S,NA,283,0
468,2,1,female,24,1,0,244367,26,,S,12,NA,0
469,2,0,female,22,0,0,F.C.C. 13534,21,,S,NA,NA,0
470,2,1,female,29.88113451,0,0,226593,12.35,E101,Q,10,NA,1
471,2,0,male,35,0,0,233734,12.35,,Q,NA,NA,0
472,2,1,female,45,0,0,223596,13.5,,S,9,NA,0
473,2,0,male,57,0,0,219533,12.35,,Q,NA,NA,0
474,2,0,male,29.88113451,0,0,239855,0,,S,NA,NA,0
475,2,0,male,31,0,0,C.A. 18723,10.5,,S,NA,165,0
476,2,0,female,26,1,1,250651,26,,S,NA,NA,0
477,2,0,male,30,1,1,250651,26,,S,NA,NA,0
478,2,0,male,29.88113451,0,0,240261,10.7083,,Q,NA,NA,0
479,2,1,female,1,1,2,SC/Paris 2123,41.5792,,C,14,NA,0
480,2,1,female,3,1,2,SC/Paris 2123,41.5792,,C,14,NA,0
481,2,0,male,25,1,2,SC/Paris 2123,41.5792,,C,NA,NA,0
482,2,1,female,22,1,2,SC/Paris 2123,41.5792,,C,14,NA,0
483,2,1,female,17,0,0,SC 1748,12,,C,12,NA,0
484,2,1,female,29.88113451,0,0,248727,33,,S,11,NA,0
485,2,1,female,34,0,0,C.A. 34260,10.5,F33,S,14,NA,1
486,2,0,male,36,0,0,SC/Paris 2163,12.875,D,C,NA,NA,1
487,2,0,male,24,0,0,C.A. 29566,10.5,,S,NA,108,0
488,2,0,male,61,0,0,235509,12.35,,Q,NA,NA,0
489,2,0,male,50,1,0,SC/AH 3085,26,,S,NA,121,0
490,2,1,female,42,1,0,SC/AH 3085,26,,S,NA,NA,0
491,2,0,female,57,0,0,S.O./P.P. 3,10.5,E77,S,NA,52,1
492,2,0,male,29.88113451,0,0,237735,15.0458,D,C,NA,NA,1
493,2,1,male,1,0,2,S.C./PARIS 2079,37.0042,,C,10,NA,0
494,2,0,male,31,1,1,S.C./PARIS 2079,37.0042,,C,NA,NA,0
495,2,1,female,24,1,1,S.C./PARIS 2079,37.0042,,C,10,NA,0
496,2,0,male,29.88113451,0,0,SC/A.3 2861,15.5792,,C,NA,NA,0
497,2,0,male,30,0,0,28228,13,,S,NA,NA,0
498,2,0,male,40,0,0,239059,16,,S,NA,NA,0
499,2,0,male,32,0,0,237216,13.5,,S,NA,209,0
500,2,0,male,30,0,0,233478,13,,S,NA,NA,0
501,2,0,male,46,0,0,28403,26,,S,NA,NA,0
502,2,1,female,13,0,1,250644,19.5,,S,14,NA,0
503,2,1,female,41,0,1,250644,19.5,,S,14,NA,0
504,2,1,male,19,0,0,SW/PP 751,10.5,,S,B,NA,0
505,2,0,male,39,0,0,248723,13,,S,NA,NA,0
506,2,0,male,48,0,0,234360,13,,S,NA,271,0
507,2,0,male,70,0,0,C.A. 24580,10.5,,S,NA,NA,0
508,2,0,male,27,0,0,211536,13,,S,NA,NA,0
509,2,0,male,54,0,0,29011,14,,S,NA,NA,0
510,2,0,male,39,0,0,250655,26,,S,NA,NA,0
511,2,0,male,16,0,0,S.O./P.P. 3,10.5,,S,NA,NA,0
512,2,0,male,62,0,0,240276,9.6875,,Q,NA,NA,0
513,2,0,male,32.5,1,0,237736,30.0708,,C,NA,43,0
514,2,1,female,14,1,0,237736,30.0708,,C,NA,NA,0
515,2,1,male,2,1,1,230080,26,F2,S,D,NA,1
516,2,1,male,3,1,1,230080,26,F2,S,D,NA,1
517,2,0,male,36.5,0,2,230080,26,F2,S,NA,15,1
518,2,0,male,26,0,0,244368,13,F2,S,NA,NA,1
519,2,0,male,19,1,1,C.A. 33112,36.75,,S,NA,101,0
520,2,0,male,28,0,0,218629,13.5,,S,NA,287,0
521,2,1,male,20,0,0,SC/PARIS 2166,13.8625,D38,C,7,NA,1
522,2,1,female,29,0,0,C.A. 29395,10.5,F33,S,11,NA,1
523,2,0,male,39,0,0,28213,13,,S,NA,NA,0
524,2,1,male,22,0,0,W./C. 14260,10.5,,S,13,NA,0
525,2,1,male,29.88113451,0,0,SC/PARIS 2146,13.8625,,C,9,NA,0
526,2,0,male,23,0,0,244278,10.5,,S,NA,NA,0
527,2,1,male,29,0,0,SC/PARIS 2147,13.8583,,C,9,NA,0
528,2,0,male,28,0,0,SC 14888,10.5,,S,NA,NA,0
529,2,0,male,29.88113451,0,0,239853,0,,S,NA,NA,0
530,2,1,female,50,0,1,230433,26,,S,12,NA,0
531,2,0,male,19,0,0,28665,10.5,,S,NA,NA,0
532,2,0,male,29.88113451,0,0,SC/PARIS 2131,15.05,,C,NA,NA,0
533,2,0,male,41,0,0,237393,13,,S,NA,NA,0
534,2,1,female,21,0,1,S.O./P.P. 2,21,,S,12,NA,0
535,2,1,female,19,0,0,250655,26,,S,11,NA,0
536,2,0,male,43,0,1,S.O./P.P. 2,21,,S,NA,NA,0
537,2,1,female,32,0,0,234604,13,,S,9,NA,0
538,2,0,male,34,0,0,250647,13,,S,NA,NA,0
539,2,1,male,30,0,0,C.A. 34644,12.7375,,C,14,NA,0
540,2,0,male,27,0,0,SC/PARIS 2168,15.0333,,C,NA,NA,0
541,2,1,female,2,1,1,26360,26,,S,11,NA,0
542,2,1,female,8,1,1,26360,26,,S,11,NA,0
543,2,1,female,33,0,2,26360,26,,S,11,NA,0
544,2,0,male,36,0,0,C.A. 17248,10.5,,S,NA,NA,0
545,2,0,male,34,1,0,31027,21,,S,12,NA,0
546,2,1,female,30,3,0,31027,21,,S,NA,NA,0
547,2,1,female,28,0,0,230434,13,,S,9,NA,0
548,2,0,male,23,0,0,SC/PARIS 2133,15.0458,,C,NA,NA,0
549,2,1,male,0.8333,1,1,29106,18.75,,S,4,NA,0
550,2,1,male,3,1,1,29106,18.75,,S,4,NA,0
551,2,1,female,24,2,3,29106,18.75,,S,4,NA,0
552,2,1,female,50,0,0,W./C. 14258,10.5,,S,13,NA,0
553,2,0,male,19,0,0,28004,10.5,,S,NA,NA,0
554,2,1,female,21,0,0,C.A. 31026,10.5,,S,12,NA,0
555,2,0,male,26,0,0,248659,13,,S,NA,NA,0
556,2,0,male,25,0,0,244361,13,,S,NA,NA,0
557,2,0,male,27,0,0,244358,26,,S,NA,NA,0
558,2,1,female,25,0,1,230433,26,,S,12,NA,0
559,2,1,female,18,0,2,250652,13,,S,16,NA,0
560,2,1,female,20,0,0,C.A. 33112,36.75,,S,11,NA,0
561,2,1,female,30,0,0,250648,13,,S,10,NA,0
562,2,0,male,59,0,0,237442,13.5,,S,NA,NA,0
563,2,1,female,30,0,0,234818,12.35,,Q,13,NA,0
564,2,0,male,35,0,0,28206,10.5,,S,NA,NA,0
565,2,1,female,40,0,0,31418,13,,S,9,NA,0
566,2,0,male,25,0,0,C.A. 29178,13,,S,NA,NA,0
567,2,0,male,41,0,0,237734,15.0458,,C,NA,NA,0
568,2,0,male,25,0,0,F.C.C. 13540,10.5,,S,NA,81,0
569,2,0,male,18.5,0,0,248734,13,F,S,NA,294,1
570,2,0,male,14,0,0,220845,65,,S,NA,NA,0
571,2,1,female,50,0,0,F.C.C. 13531,10.5,,S,9,NA,0
572,2,0,male,23,0,0,233639,13,,S,NA,NA,0
573,2,1,female,28,0,0,240929,12.65,,S,NA,NA,0
574,2,1,female,27,0,0,34218,10.5,E101,S,16,NA,1
575,2,0,male,29,1,0,11668,21,,S,NA,NA,0
576,2,0,female,27,1,0,11668,21,,S,NA,NA,0
577,2,0,male,40,0,0,28221,13,,S,NA,NA,0
578,2,1,female,31,0,0,F.C.C. 13528,21,,S,14,NA,0
579,2,0,male,30,1,0,CA 31352,21,,S,NA,NA,0
580,2,0,male,23,1,0,28666,10.5,,S,NA,NA,0
581,2,1,female,31,0,0,CA 31352,21,,S,10,NA,0
582,2,0,male,29.88113451,0,0,239856,0,,S,NA,NA,0
583,2,1,female,12,0,0,C.A. 33595,15.75,,S,9,NA,0
584,2,1,female,40,0,0,C.A. 33595,15.75,,S,9,NA,0
585,2,1,female,32.5,0,0,27267,13,E101,S,12,NA,1
586,2,0,male,27,1,0,228414,26,,S,NA,293,0
587,2,1,female,29,1,0,228414,26,,S,10,NA,0
588,2,1,male,2,1,1,29103,23,,S,14,NA,0
589,2,1,female,4,1,1,29103,23,,S,14,NA,0
590,2,1,female,29,0,2,29103,23,,S,14,NA,0
591,2,1,female,0.9167,1,2,C.A. 34651,27.75,,S,10,NA,0
592,2,1,female,5,1,2,C.A. 34651,27.75,,S,10,NA,0
593,2,0,male,36,1,2,C.A. 34651,27.75,,S,NA,NA,0
594,2,1,female,33,1,2,C.A. 34651,27.75,,S,10,NA,0
595,2,0,male,66,0,0,C.A. 24579,10.5,,S,NA,NA,0
596,2,0,male,29.88113451,0,0,SC/PARIS 2159,12.875,,S,NA,NA,0
597,2,1,male,31,0,0,244270,13,,S,9,NA,0
598,2,1,male,29.88113451,0,0,244373,13,,S,14,NA,0
599,2,1,female,26,0,0,220844,13.5,,S,9,NA,0
600,2,0,female,24,0,0,248747,13,,S,NA,NA,0
601,3,0,male,42,0,0,C.A. 5547,7.55,,S,NA,NA,0
602,3,0,male,13,0,2,C.A. 2673,20.25,,S,NA,NA,0
603,3,0,male,16,1,1,C.A. 2673,20.25,,S,NA,190,0
604,3,1,female,35,1,1,C.A. 2673,20.25,,S,A,NA,0
605,3,1,female,16,0,0,348125,7.65,,S,16,NA,0
606,3,1,male,25,0,0,348122,7.65,F G63,S,A,NA,1
607,3,1,male,20,0,0,SOTON/O2 3101284,7.925,,S,15,NA,0
608,3,1,female,18,0,0,2657,7.2292,,C,C,NA,0
609,3,0,male,30,0,0,C 7076,7.25,,S,NA,72,0
610,3,0,male,26,0,0,341826,8.05,,S,NA,103,0
611,3,0,female,40,1,0,7546,9.475,,S,NA,NA,0
612,3,1,male,0.8333,0,1,392091,9.35,,S,11,NA,0
613,3,1,female,18,0,1,392091,9.35,,S,13,NA,0
614,3,1,male,26,0,0,2699,18.7875,,C,15,NA,0
615,3,0,male,26,0,0,3474,7.8875,,S,NA,NA,0
616,3,0,male,20,0,0,SOTON/O2 3101287,7.925,,S,NA,NA,0
617,3,0,male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,NA,NA,0
618,3,0,male,25,0,0,SOTON/O.Q. 3101312,7.05,,S,NA,79,0
619,3,0,male,35,0,0,373450,8.05,,S,NA,NA,0
620,3,0,male,18,0,0,2223,8.3,,S,NA,259,0
621,3,0,male,32,0,0,C 4001,22.525,,S,NA,260,0
622,3,1,female,19,1,0,350046,7.8542,,S,16,NA,0
623,3,0,male,4,4,2,347082,31.275,,S,NA,NA,0
624,3,0,female,6,4,2,347082,31.275,,S,NA,NA,0
625,3,0,female,2,4,2,347082,31.275,,S,NA,NA,0
626,3,1,female,17,4,2,3101281,7.925,,S,D,NA,0
627,3,0,female,38,4,2,347091,7.775,,S,NA,NA,0
628,3,0,female,9,4,2,347082,31.275,,S,NA,NA,0
629,3,0,female,11,4,2,347082,31.275,,S,NA,NA,0
630,3,0,male,39,1,5,347082,31.275,,S,NA,NA,0
631,3,1,male,27,0,0,350043,7.7958,,S,A,NA,0
632,3,0,male,26,0,0,347075,7.775,,S,NA,NA,0
633,3,0,female,39,1,5,347082,31.275,,S,NA,NA,0
634,3,0,male,20,0,0,347466,7.8542,,S,NA,NA,0
635,3,0,male,26,0,0,349202,7.8958,,S,NA,NA,0
636,3,0,male,25,1,0,349237,17.8,,S,NA,NA,0
637,3,0,female,18,1,0,349237,17.8,,S,NA,NA,0
638,3,0,male,24,0,0,349911,7.775,,S,NA,NA,0
639,3,0,male,35,0,0,SOTON/O.Q. 3101310,7.05,,S,NA,NA,0
640,3,0,male,5,4,2,347077,31.3875,,S,NA,NA,0
641,3,0,male,9,4,2,347077,31.3875,,S,NA,NA,0
642,3,1,male,3,4,2,347077,31.3875,,S,15,NA,0
643,3,0,male,13,4,2,347077,31.3875,,S,NA,NA,0
644,3,1,female,5,4,2,347077,31.3875,,S,15,NA,0
645,3,0,male,40,1,5,347077,31.3875,,S,NA,142,0
646,3,1,male,23,0,0,350054,7.7958,,S,13,NA,0
647,3,1,female,38,1,5,347077,31.3875,,S,15,NA,0
648,3,1,female,45,0,0,2696,7.225,,C,C,NA,0
649,3,0,male,21,0,0,2692,7.225,,C,NA,NA,0
650,3,0,male,23,0,0,SOTON/O.Q. 3101309,7.05,,S,NA,NA,0
651,3,0,female,17,0,0,2627,14.4583,,C,NA,NA,0
652,3,0,male,30,0,0,2694,7.225,,C,NA,NA,0
653,3,0,male,23,0,0,347468,7.8542,,S,NA,NA,0
654,3,1,female,13,0,0,2687,7.2292,,C,C,NA,0
655,3,0,male,20,0,0,2679,7.225,,C,NA,NA,0
656,3,0,male,32,1,0,3101278,15.85,,S,D,NA,0
657,3,1,female,33,3,0,3101278,15.85,,S,NA,NA,0
658,3,1,female,0.75,2,1,2666,19.2583,,C,C,NA,0
659,3,1,female,0.75,2,1,2666,19.2583,,C,C,NA,0
660,3,1,female,5,2,1,2666,19.2583,,C,C,NA,0
661,3,1,female,24,0,3,2666,19.2583,,C,C,NA,0
662,3,1,female,18,0,0,A/4 31416,8.05,,S,C,NA,0
663,3,0,male,40,0,0,2623,7.225,,C,NA,NA,0
664,3,0,male,26,0,0,349248,7.8958,,S,NA,NA,0
665,3,1,male,20,0,0,2663,7.2292,,C,15,NA,0
666,3,0,female,18,0,1,2691,14.4542,,C,NA,NA,0
667,3,0,female,45,0,1,2691,14.4542,,C,NA,NA,0
668,3,0,female,27,0,0,330844,7.8792,,Q,NA,NA,0
669,3,0,male,22,0,0,324669,8.05,,S,NA,NA,0
670,3,0,male,19,0,0,323951,8.05,,S,NA,NA,0
671,3,0,male,26,0,0,347068,7.775,,S,NA,NA,0
672,3,0,male,22,0,0,PP 4348,9.35,,S,NA,NA,0
673,3,0,male,29.88113451,0,0,2622,7.2292,,C,NA,NA,0
674,3,0,male,20,0,0,2648,4.0125,,C,NA,NA,0
675,3,1,male,32,0,0,1601,56.4958,,S,C,NA,0
676,3,0,male,21,0,0,312992,7.775,,S,NA,NA,0
677,3,0,male,18,0,0,347090,7.75,,S,NA,NA,0
678,3,0,male,26,0,0,349224,7.8958,,S,NA,NA,0
679,3,0,male,6,1,1,2678,15.2458,,C,NA,NA,0
680,3,0,female,9,1,1,2678,15.2458,,C,NA,NA,0
681,3,0,male,29.88113451,0,0,2664,7.225,,C,NA,NA,0
682,3,0,female,29.88113451,0,2,2678,15.2458,,C,NA,NA,0
683,3,0,female,29.88113451,0,2,364848,7.75,,Q,NA,NA,0
684,3,0,male,40,1,1,364849,15.5,,Q,NA,NA,0
685,3,0,female,32,1,1,364849,15.5,,Q,NA,NA,0
686,3,0,male,21,0,0,54636,16.1,,S,NA,NA,0
687,3,1,female,22,0,0,334914,7.725,,Q,13,NA,0
688,3,0,female,20,0,0,347471,7.8542,,S,NA,NA,0
689,3,0,male,29,1,0,3460,7.0458,,S,NA,NA,0
690,3,0,male,22,1,0,A/5 21171,7.25,,S,NA,NA,0
691,3,0,male,22,0,0,350045,7.7958,,S,NA,NA,0
692,3,0,male,35,0,0,364512,8.05,,S,NA,NA,0
693,3,0,female,18.5,0,0,329944,7.2833,,Q,NA,299,0
694,3,1,male,21,0,0,330920,7.8208,,Q,13,NA,0
695,3,0,male,19,0,0,365222,6.75,,Q,NA,NA,0
696,3,0,female,18,0,0,330963,7.8792,,Q,NA,NA,0
697,3,0,female,21,0,0,315087,8.6625,,S,NA,NA,0
698,3,0,female,30,0,0,315084,8.6625,,S,NA,NA,0
699,3,0,male,18,0,0,315091,8.6625,,S,NA,NA,0
700,3,0,male,38,0,0,315089,8.6625,,S,NA,NA,0
701,3,0,male,17,0,0,315093,8.6625,,S,NA,NA,0
702,3,0,male,17,0,0,315086,8.6625,,S,NA,NA,0
703,3,0,female,21,0,0,364846,7.75,,Q,NA,NA,0
704,3,0,male,21,0,0,364858,7.75,,Q,NA,NA,0
705,3,0,male,21,0,0,A./5. 2152,8.05,,S,NA,NA,0
706,3,0,male,29.88113451,1,0,2689,14.4583,,C,NA,NA,0
707,3,0,female,29.88113451,1,0,2689,14.4583,,C,NA,NA,0
708,3,0,male,28,0,0,350042,7.7958,,S,NA,NA,0
709,3,0,male,24,0,0,350409,7.8542,,S,NA,NA,0
710,3,1,female,16,0,0,367231,7.75,,Q,16,NA,0
711,3,0,female,37,0,0,368364,7.75,,Q,NA,NA,0
712,3,0,male,28,0,0,392095,7.25,,S,NA,NA,0
713,3,0,male,24,0,0,343275,8.05,,S,NA,NA,0
714,3,0,male,21,0,0,A/5. 13032,7.7333,,Q,NA,NA,0
715,3,1,male,32,0,0,1601,56.4958,,S,C,NA,0
716,3,0,male,29,0,0,343276,8.05,,S,NA,NA,0
717,3,0,male,26,1,0,2680,14.4542,,C,NA,NA,0
718,3,0,male,18,1,0,2680,14.4542,,C,NA,NA,0
719,3,0,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,NA,NA,0
720,3,1,male,18,0,0,A/5 3540,8.05,,S,12,NA,0
721,3,0,male,24,0,0,371109,7.25,,Q,NA,NA,0
722,3,0,male,36,0,0,349210,7.4958,,S,NA,NA,0
723,3,0,male,24,0,0,349209,7.4958,,S,NA,NA,0
724,3,0,male,31,0,0,21332,7.7333,,Q,NA,NA,0
725,3,0,male,31,0,0,335097,7.75,,Q,NA,NA,0
726,3,1,female,22,0,0,370373,7.75,,Q,13,NA,0
727,3,0,female,30,0,0,330972,7.6292,,Q,NA,NA,0
728,3,0,male,70.5,0,0,370369,7.75,,Q,NA,171,0
729,3,0,male,43,0,0,A/5 3536,8.05,,S,NA,NA,0
730,3,0,male,35,0,0,349230,7.8958,,S,NA,NA,0
731,3,0,male,27,0,0,349229,7.8958,,S,NA,NA,0
732,3,0,male,19,0,0,349231,7.8958,,S,NA,NA,0
733,3,0,male,30,0,0,SOTON/OQ 392090,8.05,,S,NA,NA,0
734,3,1,male,9,1,1,C.A. 37671,15.9,,S,2,NA,0
735,3,1,male,3,1,1,C.A. 37671,15.9,,S,2,NA,0
736,3,1,female,36,0,2,C.A. 37671,15.9,,S,2,NA,0
737,3,0,male,59,0,0,364500,7.25,,S,NA,NA,0
738,3,0,male,19,0,0,S.P. 3464,8.1583,,S,NA,NA,0
739,3,1,female,17,0,1,371362,16.1,,S,12,NA,0
740,3,0,male,44,0,1,371362,16.1,,S,NA,NA,0
741,3,0,male,17,0,0,315090,8.6625,,S,NA,NA,0
742,3,0,male,22.5,0,0,2698,7.225,,C,NA,9,0
743,3,1,male,45,0,0,7598,8.05,,S,15,NA,0
744,3,0,female,22,0,0,7552,10.5167,,S,NA,NA,0
745,3,0,male,19,0,0,349228,10.1708,,S,NA,NA,0
746,3,1,female,30,0,0,382650,6.95,,Q,15,NA,0
747,3,1,male,29,0,0,382651,7.75,,Q,13 15 B,NA,0
748,3,0,male,0.3333,0,2,347080,14.4,,S,NA,NA,0
749,3,0,male,34,1,1,347080,14.4,,S,NA,197,0
750,3,0,female,28,1,1,347080,14.4,,S,NA,NA,0
751,3,0,male,27,0,0,349219,7.8958,,S,NA,NA,0
752,3,0,male,25,0,0,349203,7.8958,,S,NA,NA,0
753,3,0,male,24,2,0,A/4 48871,24.15,,S,NA,NA,0
754,3,0,male,22,0,0,SC/A4 23568,8.05,,S,NA,NA,0
755,3,0,male,21,2,0,A/4 48871,24.15,,S,NA,NA,0
756,3,0,male,17,2,0,A/4 48873,8.05,,S,NA,NA,0
757,3,0,male,29.88113451,1,0,386525,16.1,,S,NA,NA,0
758,3,1,female,29.88113451,1,0,386525,16.1,,S,16,NA,0
759,3,1,male,36.5,1,0,345572,17.4,,S,15,NA,0
760,3,1,female,36,1,0,345572,17.4,,S,13,NA,0
761,3,1,male,30,0,0,345774,9.5,,S,11,NA,0
762,3,0,male,16,0,0,345778,9.5,,S,NA,NA,0
763,3,1,male,1,1,2,C.A. 2315,20.575,,S,10,NA,0
764,3,1,female,0.1667,1,2,C.A. 2315,20.575,,S,10,NA,0
765,3,0,male,26,1,2,C.A. 2315,20.575,,S,NA,NA,0
766,3,1,female,33,1,2,C.A. 2315,20.575,,S,10,NA,0
767,3,0,male,25,0,0,349250,7.8958,,S,NA,NA,0
768,3,0,male,29.88113451,0,0,349238,7.8958,,S,NA,NA,0
769,3,0,male,29.88113451,0,0,349225,7.8958,,S,NA,NA,0
770,3,0,male,22,0,0,A/5 21172,7.25,,S,NA,NA,0
771,3,0,male,36,0,0,A/5 21175,7.25,,S,NA,NA,0
772,3,1,female,19,0,0,330958,7.8792,,Q,C,NA,0
773,3,0,male,17,0,0,349232,7.8958,,S,NA,NA,0
774,3,0,male,42,0,0,315088,8.6625,,S,NA,NA,0
775,3,0,male,43,0,0,349226,7.8958,,S,NA,NA,0
776,3,0,male,29.88113451,0,0,2686,7.2292,,C,NA,NA,0
777,3,0,male,32,0,0,370376,7.75,,Q,NA,NA,0
778,3,1,male,19,0,0,A/5. 10482,8.05,,S,B,NA,0
779,3,1,female,30,0,0,364516,12.475,,S,13,NA,0
780,3,0,female,24,0,0,368702,7.75,,Q,NA,NA,0
781,3,1,female,23,0,0,SOTON/OQ 392083,8.05,,S,NA,NA,0
782,3,0,male,33,0,0,349241,7.8958,,C,NA,51,0
783,3,0,male,65,0,0,336439,7.75,,Q,NA,NA,0
784,3,1,male,24,0,0,S.O./P.P. 752,7.55,,S,D,NA,0
785,3,0,male,23,1,0,347072,13.9,,S,NA,NA,0
786,3,1,female,22,1,0,347072,13.9,,S,16,NA,0
787,3,0,male,18,0,0,349912,7.775,,S,NA,NA,0
788,3,0,male,16,0,0,347074,7.775,,S,NA,NA,0
789,3,0,male,45,0,0,347061,6.975,,S,NA,NA,0
790,3,0,male,29.88113451,0,0,2674,7.225,,C,NA,NA,0
791,3,0,male,39,0,2,2675,7.2292,,C,NA,NA,0
792,3,0,male,17,1,1,2690,7.2292,,C,NA,NA,0
793,3,0,male,15,1,1,2695,7.2292,,C,NA,NA,0
794,3,0,male,47,0,0,A/5 3902,7.25,,S,NA,NA,0
795,3,1,female,5,0,0,364516,12.475,,S,13,NA,0
796,3,0,male,29.88113451,0,0,2631,7.225,,C,NA,NA,0
797,3,0,male,40.5,0,0,C.A. 6212,15.1,,S,NA,187,0
798,3,0,male,40.5,0,0,367232,7.75,,Q,NA,68,0
799,3,1,male,29.88113451,0,0,SOTON/O.Q. 3101308,7.05,,S,15,NA,0
800,3,0,male,18,0,0,350036,7.7958,,S,NA,NA,0
801,3,0,female,29.88113451,0,0,364859,7.75,,Q,NA,NA,0
802,3,0,male,29.88113451,0,0,364851,7.75,,Q,NA,NA,0
803,3,0,male,29.88113451,0,0,368323,6.95,,Q,NA,NA,0
804,3,0,male,26,0,0,330910,7.8792,,Q,NA,NA,0
805,3,0,male,29.88113451,0,0,365235,7.75,,Q,NA,NA,0
806,3,1,male,29.88113451,0,0,1601,56.4958,,S,13,NA,0
807,3,0,female,21,2,2,W./C. 6608,34.375,,S,NA,NA,0
808,3,0,female,9,2,2,W./C. 6608,34.375,,S,NA,NA,0
809,3,0,male,29.88113451,0,0,A/5 1478,8.05,,S,NA,NA,0
810,3,0,male,18,2,2,W./C. 6608,34.375,,S,NA,NA,0
811,3,0,male,16,1,3,W./C. 6608,34.375,,S,NA,NA,0
812,3,0,female,48,1,3,W./C. 6608,34.375,,S,NA,NA,0
813,3,0,male,29.88113451,0,0,368573,7.75,,Q,NA,NA,0
814,3,0,male,29.88113451,0,0,SOTON/O.Q. 3101314,7.25,,S,NA,NA,0
815,3,0,male,25,0,0,36864,7.7417,,Q,NA,NA,0
816,3,0,male,29.88113451,0,0,358585,14.5,,S,NA,NA,0
